código_estación;nombre_estación;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21
519;Acacias;56.795;57.315;;;;;;;;;;
520;Pirámides;75.265;73.599;;;;;;;;;;
521;Marqués de Vadillo;176.089;176.414;;;;;;;;;;
522;Urgel;145.332;148.913;;;;;;;;;;
523;Oporto;347.626;366.892;;;;;;;;;;
524;Vista Alegre;120.610;122.665;;;;;;;;;;
525;Carabanchel;126.656;124.498;;;;;;;;;;
526;Eugenia de Montijo;66.272;68.367;;;;;;;;;;
527;Aluche;273.858;286.302;;;;;;;;;;
528;Empalme;58.674;63.632;;;;;;;;;;
529;Campamento;103.630;106.089;;;;;;;;;;
530;Casa de Campo;57.302;67.916;;;;;;;;;;
551;El Capricho;33.236;31.435;;;;;;;;;;
552;Alameda de Osuna;59.216;59.578;;;;;;;;;;
601;Laguna;120.262;120.265;;;;;;;;;;
